Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	February	279.64	16.9603921301165		13			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	March	475	20.3060030080604		32			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	April	620.32	18.9466326107629		67			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	May	759.66	4.68106977018386		42			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	June	777.49			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	July	781.63			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	August	684.47			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	September	524.78			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	October	341.48			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	November	216.46			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	December	172.91			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	January	208.59			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	February	286.49	19.6796521694954		9			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	March	485.88	31.8326811151846		20			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	April	635.42	30.9477789583452		40			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	May	779.89	21.4680685053582		16			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	June	799.11			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	July	802.8			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	August	701.53			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	September	536.92			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	October	349.59			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	November	222.39			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	December	178.18			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	January	236.88	3.17062623143265		3			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	February	316.71	16.934804564431		15			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	March	520.61	24.7893947656003		13			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	April	663.06	27.2486838843451		53			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	May	798.9	19.4330058210209		3			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	June	812.9	0		1			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	July	819.57			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	August	727.19			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	September	570.62			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	October	383			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	November	251.04			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	December	204.28			0			
