Sample_Name	PercentSnow	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr
TM14-18	72	14941	246	918
C2-Boulder1	73	14899	203	917
C2-Boulder2	73	14840	352	957
UpLy-12-10	73	14000	219	867
LoLy-11-08	73	14500	357	940
TM14-01	73	15238	255	938
TM14-02	73	14130	238	870
TM14-03	73	14766	300	925
TM14-04	73	13890	208	848
TM14-05	73	13684	325	873
TM14-06	73	14178	247	885
TM14-07	73	15878	277	993
TM14-11	73	13932	277	879
TM14-12	73	15266	264	953
TM14-13	73	22055	458	1409
TM14-15	73	14861	233	910
TM14-16	73	13507	261	841
TM14-17	73	14682	257	906
TM14-18	73	14950	246	919
C2-Boulder1	75	14913	203	917
C2-Boulder2	75	14875	352	959
UpLy-12-10	75	14052	220	870
LoLy-11-08	75	14500	357	940
TM14-01	75	15271	256	940
TM14-02	75	14154	238	871
TM14-03	75	14767	300	925
TM14-04	75	13925	209	850
TM14-05	75	13722	326	875
TM14-06	75	14200	247	886
TM14-07	75	15913	277	995
TM14-11	75	13981	278	882
TM14-12	75	15281	264	954
TM14-13	75	22110	459	1413
TM14-15	75	14899	233	913
TM14-16	75	13550	262	844
TM14-17	75	14719	257	909
TM14-18	75	14959	246	919
C2-Boulder1	77	14925	203	918
C2-Boulder2	77	14908	353	962
UpLy-12-10	77	14082	220	872
LoLy-11-08	77	14501	357	940
TM14-01	77	15324	257	943
TM14-02	77	14178	239	873
TM14-03	77	14767	300	925
TM14-04	77	13977	209	854
TM14-05	77	13746	326	877
TM14-06	77	14218	247	888
TM14-07	77	15932	278	996
TM14-11	77	14006	279	884
TM14-12	77	15298	264	955
TM14-13	77	22169	460	1417
TM14-15	77	14925	234	914
TM14-16	77	13572	262	845
TM14-17	77	14761	258	911
TM14-18	77	14971	246	920
C2-Boulder1	78	14936	203	919
C2-Boulder2	78	14927	354	963
UpLy-12-10	78	14096	221	873
LoLy-11-08	78	14501	357	940
TM14-01	78	15347	257	945
TM14-02	78	14190	239	873
TM14-03	78	14768	300	925
TM14-04	78	13990	210	854
TM14-05	78	13772	327	879
TM14-06	78	14229	248	888
TM14-07	78	15951	278	997
TM14-11	78	14032	279	886
TM14-12	78	15309	265	956
TM14-13	78	22212	461	1420
TM14-15	78	14932	234	915
TM14-16	78	13595	263	847
TM14-17	78	14780	258	913
TM14-18	78	14978	246	921
C2-Boulder1	79	14939	203	919
C2-Boulder2	79	14944	354	964
UpLy-12-10	79	14125	221	875
LoLy-11-08	79	14501	357	940
TM14-01	79	15367	257	946
TM14-02	79	14207	239	875
TM14-03	79	14768	300	925
TM14-04	79	13999	210	855
TM14-05	79	13790	328	880
TM14-06	79	14238	248	889
TM14-07	79	15970	278	998
TM14-11	79	14055	280	887
TM14-12	79	15317	265	956
TM14-13	79	22215	461	1420
TM14-15	79	14958	234	916
TM14-16	79	13605	263	847
TM14-17	79	14786	258	913
TM14-18	79	14993	246	921
C2-Boulder1	80	14942	203	919
C2-Boulder2	80	14954	354	965
UpLy-12-10	80	14140	221	876
LoLy-11-08	80	14503	357	940
TM14-01	80	15397	258	948
TM14-02	80	14222	239	875
TM14-03	80	14767	300	925
TM14-04	80	14024	210	857
TM14-05	80	13807	328	881
TM14-06	80	14249	248	889
TM14-07	80	15968	278	998
TM14-11	80	14066	280	888
TM14-12	80	15323	265	957
TM14-13	80	22239	462	1421
TM14-15	80	14950	234	916
TM14-16	80	13617	263	848
TM14-17	80	14807	259	914
TM14-18	80	15000	247	922
C2-Boulder1	82	14964	203	921
C2-Boulder2	82	14986	355	967
UpLy-12-10	82	14184	222	879
LoLy-11-08	82	14502	357	940
TM14-01	82	15459	259	952
TM14-02	82	14240	240	877
TM14-03	82	14768	300	925
TM14-04	82	14062	211	859
TM14-05	82	13858	329	884
TM14-06	82	14275	248	891
TM14-07	82	15998	279	1000
TM14-11	82	14103	280	890
TM14-12	82	15343	265	958
TM14-13	82	22293	463	1425
TM14-15	82	14994	235	919
TM14-16	82	13652	264	850
TM14-17	82	14821	259	915
TM14-18	82	15009	247	922
C2-Boulder1	83	14969	203	921
C2-Boulder2	83	15008	356	968
UpLy-12-10	83	14199	222	880
LoLy-11-08	83	14504	357	940
TM14-01	83	15466	259	952
TM14-02	83	14256	240	878
TM14-03	83	14769	300	925
TM14-04	83	14076	211	860
TM14-05	83	13854	329	884
TM14-06	83	14274	248	891
TM14-07	83	16021	279	1002
TM14-11	83	14120	281	891
TM14-12	83	15350	265	958
TM14-13	83	22327	464	1427
TM14-15	83	15003	235	919
TM14-16	83	13683	265	852
TM14-17	83	14848	259	917
TM14-18	83	15016	247	923
C2-Boulder1	85	14983	204	922
C2-Boulder2	85	15054	357	971
UpLy-12-10	85	14244	223	883
LoLy-11-08	85	14505	357	940
TM14-01	85	15516	260	955
TM14-02	85	14297	241	880
TM14-03	85	14772	300	925
TM14-04	85	14094	211	861
TM14-05	85	13899	330	887
TM14-06	85	14305	249	893
TM14-07	85	16050	280	1004
TM14-11	85	14141	281	893
TM14-12	85	15370	266	960
TM14-13	85	22385	465	1431
TM14-15	85	15037	236	921
TM14-16	85	13704	265	854
TM14-17	85	14879	260	919
TM14-18	85	15043	247	925
C2-Boulder1	87	15001	204	923
C2-Boulder2	87	15078	357	973
UpLy-12-10	87	14302	224	886
LoLy-11-08	87	14509	357	941
TM14-01	87	15557	261	958
TM14-02	87	14317	241	881
TM14-03	87	14771	300	925
TM14-04	87	14138	212	864
TM14-05	87	13944	331	890
TM14-06	87	14329	249	895
TM14-07	87	16087	280	1006
TM14-11	87	14181	282	895
TM14-12	87	15388	266	961
TM14-13	87	22445	466	1435
TM14-15	87	15066	236	923
TM14-16	87	13752	266	857
TM14-17	87	14909	261	921
TM14-18	87	15050	247	925
C2-Boulder1	89	15021	204	924
C2-Boulder2	89	15122	358	976
UpLy-12-10	89	14333	224	888
LoLy-11-08	89	14507	357	940
TM14-01	89	15620	262	961
TM14-02	89	14326	241	882
TM14-03	89	14772	300	925
TM14-04	89	14163	212	865
TM14-05	89	13977	332	892
TM14-06	89	14353	250	896
TM14-07	89	16124	281	1008
TM14-11	89	14216	283	898
TM14-12	89	15409	266	962
TM14-13	89	22508	468	1439
TM14-15	89	15086	236	924
TM14-16	89	13776	266	858
TM14-17	89	14933	261	922
TM14-18	89	15069	248	926
C2-Boulder1	90	15024	204	924
C2-Boulder2	90	15135	359	977
UpLy-12-10	90	14358	225	890
LoLy-11-08	90	14509	357	941
TM14-01	90	15621	262	961
TM14-02	90	14350	242	883
TM14-03	90	14773	301	925
TM14-04	90	14179	213	866
TM14-05	90	13992	332	893
TM14-06	90	14358	250	896
TM14-07	90	16128	281	1008
TM14-11	90	14235	283	899
TM14-12	90	15427	267	963
TM14-13	90	22502	467	1439
TM14-15	90	15097	236	925
TM14-16	90	13812	267	860
TM14-17	90	14950	261	923
TM14-18	90	15073	248	926
C2-Boulder1	91	15046	205	926
C2-Boulder2	91	15154	359	978
UpLy-12-10	91	14371	225	891
LoLy-11-08	91	14511	357	941
TM14-01	91	15671	262	965
TM14-02	91	14364	242	884
TM14-03	91	14774	301	925
TM14-04	91	14218	213	868
TM14-05	91	14016	333	894
TM14-06	91	14368	250	897
TM14-07	91	16161	282	1011
TM14-11	91	14259	284	900
TM14-12	91	15428	267	963
TM14-13	91	22568	469	1443
TM14-15	91	15113	237	926
TM14-16	91	13824	267	861
TM14-17	91	14972	262	924
TM14-18	91	15087	248	927
C2-Boulder1	92	15051	205	926
C2-Boulder2	92	15187	360	980
UpLy-12-10	92	14410	226	893
LoLy-11-08	92	14511	357	941
TM14-01	92	15654	262	964
TM14-02	92	14377	242	885
TM14-03	92	14775	301	925
TM14-04	92	14214	213	868
TM14-05	92	14034	333	895
TM14-06	92	14386	250	898
TM14-07	92	16158	282	1010
TM14-11	92	14283	284	902
TM14-12	92	15438	267	964
TM14-13	92	22575	469	1443
TM14-15	92	15126	237	927
TM14-16	92	13835	268	862
TM14-17	92	14973	262	924
TM14-18	92	15092	248	928
C2-Boulder1	93	15055	205	926
C2-Boulder2	93	15203	360	981
UpLy-12-10	93	14424	226	894
LoLy-11-08	93	14512	357	941
TM14-01	93	15713	263	967
TM14-02	93	14394	242	886
TM14-03	93	14778	301	925
TM14-04	93	14242	213	870
TM14-05	93	14040	333	896
TM14-06	93	14400	251	899
TM14-07	93	16174	282	1011
TM14-11	93	14291	284	902
TM14-12	93	15459	267	965
TM14-13	93	22626	470	1447
TM14-15	93	15154	237	928
TM14-16	93	13872	268	864
TM14-17	93	14988	262	925
TM14-18	93	15107	248	929
C2-Boulder1	94	15065	205	927
C2-Boulder2	94	15227	361	983
UpLy-12-10	94	14438	226	895
LoLy-11-08	94	14514	357	941
TM14-01	94	15738	264	969
TM14-02	94	14407	243	887
TM14-03	94	14777	301	925
TM14-04	94	14263	214	871
TM14-05	94	14066	334	897
TM14-06	94	14419	251	900
TM14-07	94	16193	282	1013
TM14-11	94	14305	285	903
TM14-12	94	15464	267	966
TM14-13	94	22647	470	1448
TM14-15	94	15164	238	929
TM14-16	94	13888	269	865
TM14-17	94	15013	262	927
TM14-18	94	15115	248	929
C2-Boulder1	95	15076	205	928
C2-Boulder2	95	15240	361	983
UpLy-12-10	95	14457	226	896
LoLy-11-08	95	14515	357	941
TM14-01	95	15753	264	970
TM14-02	95	14419	243	888
TM14-03	95	14779	301	925
TM14-04	95	14262	214	871
TM14-05	95	14069	334	898
TM14-06	95	14421	251	900
TM14-07	95	16209	282	1014
TM14-11	95	14331	285	905
TM14-12	95	15479	268	967
TM14-13	95	22667	471	1449
TM14-15	95	15176	238	930
TM14-16	95	13910	269	866
TM14-17	95	15028	263	928
TM14-18	95	15121	249	929
C2-Boulder1	96	15084	205	928
C2-Boulder2	96	15270	362	985
UpLy-12-10	96	14485	227	898
LoLy-11-08	96	14513	357	941
TM14-01	96	15783	264	972
TM14-02	96	14447	243	889
TM14-03	96	14779	301	925
TM14-04	96	14294	214	873
TM14-05	96	14105	335	900
TM14-06	96	14429	251	901
